sx,sx2,sy,sy2,gamma,delta
17173.17366,8391.34769017,35303.111947,27840.9584727,0.76,0.6
17372.746674,8518.60661342,37380.320837,31184.0788482,0.76,0.4
18990.336385,10418.9465019,39376.463948,34610.6305129,0.2,0.2
19999.477568,11674.3209898,37089.734911,30720.8383222,0.2,0.4
14123.341924,5291.18362862,35190.589439,27645.01026,0,0.68
21278.146024,13312.9964177,34695.445542,26930.5643039,0.2,0.6
13515.2510134,4788.77300171,34136.101132,26032.2510653,1.64,0.76
17604.5116835,8794.21583007,36554.593317,29831.8326639,0.68,0.48
19044.574402,10589.9978843,41257.552639,38023.7227983,0.28,0
13636.169736,4885.10654053,34513.506129,26603.1981748,1.64,0.72
20923.458027,12799.6013986,24731.7687613,14460.3042528,0.48,1.56
20627.175802,12462.6219696,25194.8135664,14906.3933935,0.48,1.52
15961.573732,7134.2370851,28852.514489,18894.4797497,1.28,1.24
22943.024658,15444.0372328,24646.7676305,14468.7763659,0.28,1.52
23105.961427,15615.5233375,24107.2648266,13933.1864582,0.28,1.56
13331.226096,4640.32356471,33748.980079,25455.6416129,1.6,0.8
12556.0999542,4037.148436,37985.377978,32184.1217826,1.6,0.4
13004.9452042,4405.59216906,35821.302878,28628.6112771,1.6,0.6
12377.0635875,3897.26719412,40041.242631,35783.1399486,1.6,0.2
11897.8091962,3552.71303489,37564.355337,31471.870374,1.76,0.44
12935.3611646,4389.36408445,35453.459635,28046.0519464,1.72,0.64
12012.5449903,3619.51842495,37177.34715,30828.9800975,1.76,0.48
13361.6391428,4626.20457652,34945.056047,27263.5800412,1.72,0.68
21419.28339,13619.1187718,25954.8122006,15750.1029324,0.16,1.44
18502.186418,9836.28525853,22822.853647,12543.9381142,1.12,1.8
13876.3628479,5117.19767692,40701.697668,36982.9143699,1.16,0.12
16932.165136,8248.00304557,36957.39063,30483.0025889,0.68,0.44
22127.896348,14693.3426883,25488.0571641,15333.034446,0.16,1.48
13552.7745658,4878.1964931,40303.844727,36253.1396435,1.16,0.16
18061.498661,9295.77495231,35618.50805,28337.8791937,0.68,0.56
15621.199296,6755.09642415,24352.4561357,14006.9658056,1.56,1.72
16781.177952,8046.89790076,36204.690944,29265.2534482,0.68,0.52
19476.323008,11128.5115666,37502.075644,31400.8412389,0.28,0.36
14410.915966,5532.34854836,25891.48632,15552.430557,1.96,1.56
17412.324125,8579.93916534,27175.270788,16916.1842287,1.16,1.36
18599.904135,10057.7591722,36795.392194,30226.9691268,0.36,0.44
14694.531062,5701.90696955,25761.88628,15292.3149501,1.96,1.52
19191.232064,10630.0149783,36354.16857,29518.4917147,0.36,0.48
17915.894792,9109.41136962,22027.2127515,11859.2445163,1.16,1.92
18863.039688,10359.4545763,38032.674249,32290.8113951,0.4,0.32
14226.5140653,5345.87751954,28976.682027,19004.8933516,1.72,1.24
18001.828579,9468.6008972,37613.181069,31577.2570898,0.4,0.36
13149.5984114,4493.1489765,36661.67418,29983.3186991,1.6,0.52
17383.964385,8501.18295011,26838.755124,16557.8308533,1.2,1.4
18110.056121,9269.2740244,24634.7627359,14247.7342893,1.2,1.6
13178.4242497,4515.97110422,36215.390546,29257.5264125,1.6,0.56
16529.70911,7543.81408691,28886.0881,18879.8376923,1.2,1.2
15999.021091,7171.61737848,25784.158484,15469.6955602,1.52,1.56
15921.528292,6902.85551862,25750.034785,15332.5147776,1.52,1.52
20129.388473,11879.6290676,30649.643134,21213.5539982,0.48,1
24081.934035,16505.59348,19401.2934986,9693.75953521,0.48,2
13033.8945321,4420.8828276,36245.385201,29307.1941908,1.52,0.56
20997.437978,13145.1599045,32237.283868,23369.9033385,0.08,0.84
13104.8642196,4475.82084611,36668.938769,29996.3047987,1.52,0.52
21745.198287,13885.6037054,31639.972114,22546.3216321,0.08,0.88
17734.092973,9452.78115928,35995.530602,28934.4575073,0.36,0.52
13286.6417722,4602.7483087,40824.944194,37206.0015995,1.32,0.12
19513.475698,11254.9315547,28446.602354,18506.3583116,2,1.2
13154.7477296,4508.54279277,40368.239666,36371.0538309,1.32,0.16
22518.30262,14676.7063991,21350.6165994,11310.0354086,0.36,1.88
22689.161561,15039.7388495,21838.4541065,11829.7433474,0.36,1.84
19159.228156,10407.6444566,23494.3459506,13132.6439286,1.08,1.68
20736.451367,12755.8099111,33100.230625,24581.5590119,0.24,0.76
16934.712596,8155.34627762,35771.959124,28573.7185031,0.72,0.56
21860.195514,14250.6190561,26540.8068533,16362.0959041,0.12,1.36
12804.9585253,4211.83445677,34210.111249,26138.9768737,1.84,0.76
19695.027504,11399.5816829,33712.838614,25457.5346194,0.24,0.72
17116.522746,8429.84356161,36094.524777,29085.4333754,0.72,0.52
22218.554768,14571.9619488,26807.1829171,16613.6357576,0.12,1.32
12419.0678532,3910.18329729,34671.997475,26837.0116528,1.84,0.72
15338.588094,6399.65249871,27716.90358,17565.9417856,1.6,1.36
18726.733888,10054.477701,23920.1709977,13577.9188751,0.92,1.68
15175.434526,6309.88114432,28210.008765,18131.0902336,1.6,1.32
16840.46156,8046.54124486,32421.255616,23567.5900022,1,0.88
12711.4487067,4119.51088865,32599.106356,23785.3084544,1.96,0.92
16475.079588,7607.37988028,32910.812295,24257.7502257,1,0.84
15640.953573,6633.53851325,31483.165031,22243.6614807,1.96,0.96
18196.598425,9511.32709576,22680.2059417,12567.1152509,1.28,1.84
21150.69136,13167.3887782,25910.1281109,15688.7619669,0.36,1.44
20340.798481,11973.235833,24620.5654264,14276.6418007,0.68,1.56
15525.057011,6690.91571652,38369.729107,32849.9453355,0.96,0.32
16183.7857545,7360.4124766,37929.699654,32102.7845419,0.96,0.36
18008.52461,9307.40363135,21898.2426024,11873.3690715,1.16,1.96
20459.30428,12406.4487995,21701.4452937,11803.5080109,0.6,1.96
22434.853401,15163.8066111,22179.0818716,12200.7253399,0.2,1.84
14938.856902,6020.54342088,21782.3500984,11565.7685847,1.96,2
15762.108365,6812.91823401,22840.8884243,12589.3121059,1.56,1.88
13787.370934,5051.52723593,26609.487691,16309.9711807,1.84,1.52
14283.582022,5513.57007045,26243.905224,15951.0410346,1.84,1.56
21252.515707,12773.1347997,28872.17561,18916.7040701,0.6,1.12
18609.648541,10205.7026211,38319.45804,32776.982203,0.32,0.28
20407.632248,12057.7183525,28860.068428,18967.7241378,0.6,1.16
16300.580817,7441.75833816,32882.464394,24216.8741362,1.12,0.84
15613.6677206,6870.52775567,37909.503904,32065.6969667,0.92,0.36
16061.6905134,7243.92381388,40030.192347,35768.0739564,0.64,0.16
16497.196397,7503.82584869,32403.81266,23530.478712,1.12,0.88
15785.260904,6970.27428303,38404.610691,32909.6668809,0.92,0.32
19120.198073,10543.738654,38957.530875,33878.8268212,0.32,0.24
14830.474944,5855.86789101,26993.049656,16637.3697404,1.72,1.4
16203.572487,7281.53324731,25043.2647745,14632.2835692,1.48,1.6
15878.684317,6976.33907418,27025.845493,16724.4374174,1.48,1.4
16000.819388,6979.63417601,29047.748185,19104.7460562,1.48,1.2
14521.539158,5642.283405,24815.511555,14452.865805,1.92,1.68
14563.342254,5664.22452047,24854.403261,14371.9767299,1.92,1.64
15424.684649,6443.41754548,25030.231002,14563.3410197,1.72,1.6
16491.692855,7646.42684246,23689.1494411,13527.8827192,1.48,1.8
19010.623721,10434.1423642,24313.0340679,14002.8172287,0.96,1.64
18830.515883,10391.0437898,35087.723115,27520.4592276,0.4,0.6
22530.284065,14683.9661113,21297.9551724,11252.3416259,0.32,1.88
15325.496598,6452.0252317,24185.4811066,13901.8603867,1.64,1.76
18153.200025,9523.38241467,37291.229661,31045.1240231,0.4,0.4
14553.564052,5703.46017884,31097.235478,21734.1868488,1.56,1.04
14918.970872,5977.1460446,24804.216506,14372.0184188,1.88,1.64
14330.052492,5496.94923185,30616.378537,21083.6167809,1.56,1.08
21640.308517,14128.1613141,26440.8560726,16357.5000302,0.16,1.4
15737.053826,6912.29771749,30227.687773,20634.5923398,1.36,1.12
18520.387206,9930.31563739,39289.856704,34460.4166381,0.4,0.2
20186.774137,11653.2131729,28320.69292,18272.0482025,0.6,1.2
16222.104937,7252.22098993,23837.4903708,13450.4492149,1.64,1.72
21976.942479,14024.9765904,21851.2860623,11794.6168252,0.48,1.84
18698.434263,10078.6609337,25640.2569083,15387.1322748,0.92,1.52
17485.102543,8648.41489223,29756.274049,20023.9048536,1.08,1.12
