   x   y
   9.6283613e-01   3.0824978e-01
   1.0458571e+00   3.3778929e-02
   1.0708757e+00   0.0000000e+00
   7.5949964e-01   3.0125153e-01
   8.3087170e-01   6.3384182e-02
   8.8485780e-01   2.1371597e-02
   9.4993370e-01   1.0288790e-01
   6.9759439e-01   0.0000000e+00
   8.5431434e-01   3.7103783e-02
   6.2294379e-01   2.0684940e-01
   8.6693959e-01   1.8563779e-02
   1.0131479e+00   0.0000000e+00
   7.2372317e-01   2.1899595e-02
   9.1230320e-01   3.6945346e-02
   7.7873372e-01   1.5575568e-01
   7.5842880e-01   3.1859082e-01
   8.3879252e-01   1.6972485e-01
   9.6202776e-01   0.0000000e+00
   8.9253736e-01   1.2390850e-01
   9.4262217e-01   0.0000000e+00
